timestamp,grid_import,grid_export,battery_charge,battery_discharge
2024-01-31,21504.365012492577,56.16919317515428,483.68942659702697,650.058901344728
2024-02-29,17929.83614783455,1140.5704567201046,461.07802696815793,590.9686083480643
2024-03-31,15484.677955531899,3682.49910508928,604.0796326728529,722.6355676948552
2024-04-30,12534.363430303223,7132.077696768226,1672.8485672570578,1745.2967686652212
2024-05-31,10616.488682016638,9927.521180483729,2663.6016459474026,2787.5765780857246
2024-06-30,10053.41245136354,10631.508702212313,2735.9400145629206,2767.119170573222
2024-07-31,12104.551874275494,7063.787265023403,1052.7267885813576,1088.0103796357657
2024-08-31,12967.833111704254,6959.299436090006,1733.8112102333728,1779.874897452464
2024-09-30,15186.247577769713,2319.071146814497,575.2485265910784,718.3808181916072
2024-10-31,18753.419013580755,1239.3840587627624,449.9461158749972,482.20505387381513
2024-11-30,19983.89562576426,135.7674671561774,439.6006410129214,504.05204517343475
2024-12-31,20600.77519446348,56.184117369102516,449.92301700206906,527.5325980065494
