timestamp,P_charge_kw,P_discharge_kw,P_grid_import_kw,P_grid_export_kw,E_battery_kwh,P_curtail_kw,soc_percent
2024-07-19 23:00:00,1.7190028594087745,0.0,18.971282728682915,0.0,8.0,0.0,10.0
2024-07-20 00:00:00,0.0,1.547102573467897,14.980006319152217,0.0,9.547102573467898,0.0,11.933878216834874
2024-07-20 01:00:00,0.0,0.5870841487279884,15.543094631369133,0.0,8.15471025734679,0.0,10.193387821683489
2024-07-20 02:00:00,1.7190028594087745,0.0,14.12921449052307,0.0,8.0,0.0,10.0
2024-07-20 03:00:00,0.0,0.0,14.845079169573644,0.0,9.547102573467898,0.0,11.933878216834874
2024-07-20 04:00:00,0.0,1.547102573467897,11.027736636333195,0.0,9.547102573467898,0.0,11.933878216834874
2024-07-20 05:00:00,0.0,0.0,6.55290854683631,0.0,8.15471025734679,0.0,10.193387821683489
2024-07-20 06:00:00,1.7190028594087745,0.0,0.0,9.027757357759013,8.15471025734679,0.0,10.193387821683489
2024-07-20 07:00:00,0.0,0.0,0.0,27.337724575564692,9.701812830814688,0.0,12.12726603851836
2024-07-20 08:00:00,0.0,0.0,0.0,46.72431900882536,9.701812830814688,0.0,12.12726603851836
2024-07-20 09:00:00,0.0,0.0,0.0,42.281183581784624,9.701812830814688,0.0,12.12726603851836
2024-07-20 10:00:00,0.0,0.0,0.0,24.785194805582094,9.701812830814688,0.0,12.12726603851836
2024-07-20 11:00:00,45.89741105627264,39.76056737717747,0.0,70.0,9.701812830814688,0.0,12.12726603851836
2024-07-20 12:00:00,60.0,52.452897426532104,0.0,70.0,15.224972142000336,5.932905530896676,19.03121517750042
2024-07-20 13:00:00,41.014557701746504,38.46020450503975,0.0,70.0,22.017364458121442,0.0,27.5217055726518
2024-07-20 14:00:00,0.0,1.547102573467897,0.0,61.914318384301545,24.316282335157524,0.0,30.395352918946905
2024-07-20 15:00:00,0.0,1.547102573467897,0.0,55.63835642140933,22.923890019036417,0.0,28.654862523795522
2024-07-20 16:00:00,0.0,1.547102573467897,0.0,40.36601431057975,21.53149770291531,0.0,26.91437212864414
2024-07-20 17:00:00,0.0,1.547102573467897,0.0,19.47078483125383,20.139105386794203,0.0,25.173881733492752
2024-07-20 18:00:00,0.0,1.547102573467897,0.2636591774424035,0.0,18.746713070673096,0.0,23.43339133834137
2024-07-20 19:00:00,0.0,1.547102573467897,9.666625765559363,0.0,17.35432075455199,0.0,21.692900943189986
2024-07-20 20:00:00,0.0,1.547102573467897,11.015639091028923,0.0,15.961928438430881,0.0,19.9524105480386
2024-07-20 21:00:00,0.0,1.547102573467897,15.019354590021582,0.0,14.569536122309774,0.0,18.211920152887217
2024-07-20 22:00:00,0.0,1.547102573467897,10.53467098631399,0.0,13.177143806188667,0.0,16.471429757735834
2024-07-20 23:00:00,0.0,1.547102573467897,12.819482823494152,0.0,11.78475149006756,0.0,14.73093936258445
2024-07-21 00:00:00,0.0,1.547102573467897,10.820012294266736,0.0,10.392359173946453,0.0,12.990448967433066
2024-07-21 01:00:00,0.0,0.0,17.704413014940425,0.0,8.999966857825346,0.0,11.249958572281681
2024-07-21 02:00:00,0.0,1.547102573467897,8.913885993291562,0.0,8.999966857825346,0.0,11.249958572281681
2024-07-21 03:00:00,0.0,-0.0,14.89342280695261,0.0,8.0,0.0,10.0
2024-07-21 04:00:00,0.0,0.0,9.562427832490021,0.0,8.0,0.0,10.0
2024-07-21 05:00:00,0.0,-0.0,0.2690854849149158,0.0,8.0,0.0,10.0
2024-07-21 06:00:00,1.7190028594087745,0.0,0.0,20.9235626293966,8.0,0.0,10.0
2024-07-21 07:00:00,0.0,0.0,0.0,35.49793554622077,9.547102573467898,0.0,11.933878216834874
2024-07-21 08:00:00,0.0,1.547102573467897,0.0,54.6343009727096,9.547102573467898,0.0,11.933878216834874
2024-07-21 09:00:00,0.0,0.0,0.0,67.19669038847454,8.15471025734679,0.0,10.193387821683489
2024-07-21 10:00:00,1.7190028594087745,0.0,0.0,27.45059745040061,8.15471025734679,0.0,10.193387821683489
2024-07-21 11:00:00,60.0,52.4528974265321,0.0,70.0,9.701812830814688,12.021644472490728,12.12726603851836
2024-07-21 12:00:00,60.0,52.452897426532104,0.0,70.0,16.4942051469358,12.525643912981792,20.61775643366975
2024-07-21 13:00:00,60.0,52.4528974265321,0.0,70.0,23.286597463056907,1.930936819938914,29.108246828821134
2024-07-21 14:00:00,0.0,1.547102573467897,0.0,40.57138200821034,30.07898977917802,0.0,37.59873722397252
2024-07-21 15:00:00,0.0,1.547102573467897,0.0,32.63658400473909,28.686597463056913,0.0,35.85824682882114
2024-07-21 16:00:00,0.0,1.547102573467897,0.0,42.723783048549635,27.294205146935806,0.0,34.117756433669754
2024-07-21 17:00:00,0.0,1.547102573467897,0.0,17.614741830297245,25.9018128308147,0.0,32.37726603851837
2024-07-21 18:00:00,0.0,1.547102573467897,3.932813042427111,0.0,24.50942051469359,0.0,30.636775643366988
2024-07-21 19:00:00,0.0,1.547102573467897,11.426393849848534,0.0,23.117028198572484,0.0,28.8962852482156
2024-07-21 20:00:00,0.0,1.547102573467897,12.046298348222138,0.0,21.724635882451377,0.0,27.15579485306422
2024-07-21 21:00:00,0.0,1.547102573467897,13.466616479969453,0.0,20.33224356633027,0.0,25.415304457912836
2024-07-21 22:00:00,0.0,1.547102573467897,12.66674618310913,0.0,18.939851250209163,0.0,23.674814062761453
2024-07-21 23:00:00,0.0,1.547102573467897,11.71187381879248,0.0,17.547458934088056,0.0,21.93432366761007
2024-07-22 00:00:00,0.0,1.547102573467897,21.10652594890301,0.0,16.15506661796695,0.0,20.193833272458686
2024-07-22 01:00:00,0.0,1.547102573467897,17.77449312063477,0.0,14.762674301845841,0.0,18.453342877307303
2024-07-22 02:00:00,0.0,1.547102573467897,14.098295439659324,0.0,13.370281985724734,0.0,16.712852482155917
2024-07-22 03:00:00,1.7190028594087745,0.0,18.834609089887106,0.0,11.977889669603627,0.0,14.972362087004534
2024-07-22 04:00:00,0.0,0.0,19.690139118421698,0.0,13.524992243071525,0.0,16.906240303839407
2024-07-22 05:00:00,0.0,1.547102573467897,4.118351341627451,0.0,13.524992243071525,0.0,16.906240303839407
2024-07-22 06:00:00,0.0,1.547102573467897,9.77035098492562,0.0,12.132599926950418,0.0,15.165749908688023
2024-07-22 07:00:00,0.0,0.0,0.0,5.425304314381158,10.74020761082931,0.0,13.42525951353664
2024-07-22 08:00:00,1.7190028594087745,0.0,0.0,1.3581614387777852,10.74020761082931,0.0,13.42525951353664
2024-07-22 09:00:00,0.0,1.547102573467897,0.0,64.62110942356954,12.287310184297208,0.0,15.359137730371511
2024-07-22 10:00:00,1.7190028594087745,0.0,0.0,33.66751429780719,10.894917868176101,0.0,13.618647335220126
2024-07-22 11:00:00,0.0,1.547102573467897,0.0,17.19413249941414,12.442020441643999,0.0,15.552525552055
2024-07-22 12:00:00,0.0,0.0,0.0,61.39561329065292,11.049628125522892,0.0,13.812035156903615
2024-07-22 13:00:00,1.7190028594087745,0.0,0.0,52.60561509997216,11.049628125522892,0.0,13.812035156903615
2024-07-22 14:00:00,0.0,0.0,0.0,19.620069997223787,12.59673069899079,0.0,15.745913373738487
2024-07-22 15:00:00,1.7190028594087745,0.0,0.0,37.52726018872425,12.59673069899079,0.0,15.745913373738487
2024-07-22 16:00:00,1.7190028594087745,0.0,0.0,11.022883084140183,14.143833272458687,0.0,17.67979159057336
2024-07-22 17:00:00,0.0,1.547102573467897,13.158301110044881,0.0,15.690935845926585,0.0,19.613669807408233
2024-07-22 18:00:00,0.0,1.547102573467897,28.063567647344524,0.0,14.298543529805478,0.0,17.87317941225685
2024-07-22 19:00:00,0.0,1.547102573467897,44.46314695179208,0.0,12.906151213684371,0.0,16.132689017105463
2024-07-22 20:00:00,0.0,2.2284641767658897,49.13416433135613,0.0,11.513758897563264,0.0,14.39219862195408
2024-07-22 21:00:00,0.0,1.547102573467897,40.16123572714914,0.0,9.508141138473963,0.0,11.885176423092455
2024-07-22 22:00:00,0.0,0.4392358981406818,22.21096440280425,0.0,8.115748822352856,0.0,10.14468602794107
2024-07-22 23:00:00,1.7190028594087745,0.0,24.66042673387591,0.0,8.0,0.0,10.0
2024-07-23 00:00:00,1.7190028594087745,0.0,19.66050126946975,0.0,9.547102573467898,0.0,11.933878216834874
2024-07-23 01:00:00,0.0,0.0,24.44923297683006,0.0,11.094205146935796,0.0,13.867756433669745
2024-07-23 02:00:00,0.0,0.0,21.66681445034754,0.0,11.094205146935796,0.0,13.867756433669745
2024-07-23 03:00:00,0.0,0.0,16.12596162061326,0.0,11.094205146935796,0.0,13.867756433669745
2024-07-23 04:00:00,0.0,0.0,17.895165049477157,0.0,11.094205146935796,0.0,13.867756433669745
2024-07-23 05:00:00,1.7190028594087745,0.0,3.0118589243154115,0.0,11.094205146935796,0.0,13.867756433669745
2024-07-23 06:00:00,0.0,1.547102573467897,3.109133506830907,0.0,12.641307720403693,0.0,15.801634650504617
2024-07-23 07:00:00,0.0,0.0,0.0,4.892831618373016,11.248915404282586,0.0,14.061144255353234
2024-07-23 08:00:00,0.29212628981254013,0.0,0.0,31.705284285512047,11.248915404282586,0.0,14.061144255353234
2024-07-23 09:00:00,0.0,1.547102573467897,0.0,50.151149142113844,11.511829065113872,0.0,14.38978633139234
2024-07-23 10:00:00,1.7190028594087745,0.0,0.0,46.540004694612264,10.119436748992765,0.0,12.649295936240957
2024-07-23 11:00:00,0.2502721001459564,0.0,0.0,60.124142829631786,11.666539322460663,0.0,14.583174153075829
2024-07-23 12:00:00,1.7190028594087745,0.0,0.0,35.68683868944089,11.891784212592023,0.0,14.864730265740029
2024-07-23 13:00:00,0.0,1.547102573467897,12.22476794916912,0.0,13.438886786059921,0.0,16.7986084825749
2024-07-23 14:00:00,1.7190028594087745,0.0,0.0,4.8854726043986005,12.046494469938814,0.0,15.058118087423516
2024-07-23 15:00:00,0.0,0.02369966075266916,0.0,0.0,13.593597043406712,0.0,16.99199630425839
2024-07-23 16:00:00,0.0,1.547102573467897,30.76104577593111,0.0,13.57226734872931,0.0,16.965334185911637
2024-07-23 17:00:00,0.0,1.547102573467897,31.144194062620628,0.0,12.179875032608203,0.0,15.224843790760254
2024-07-23 18:00:00,0.0,4.851047562006755,49.13416433135613,0.0,10.787482716487096,0.0,13.484353395608869
2024-07-23 19:00:00,0.0,-0.0,52.209790172312,0.0,8.0,0.0,10.0
2024-07-23 20:00:00,0.0,-0.0,45.78363022118089,0.0,8.0,0.0,10.0
2024-07-23 21:00:00,0.0,-0.0,41.99935357483916,0.0,8.0,0.0,10.0
2024-07-23 22:00:00,0.0,-0.0,22.81639960054297,0.0,8.0,0.0,10.0
2024-07-23 23:00:00,1.7190028594087745,0.0,22.819533117075796,0.0,8.0,0.0,10.0
2024-07-24 00:00:00,0.0,0.0,19.88564072325653,0.0,9.547102573467898,0.0,11.933878216834874
2024-07-24 01:00:00,1.7190028594087745,0.0,23.518023789135814,0.0,9.547102573467898,0.0,11.933878216834874
2024-07-24 02:00:00,0.0,0.0,21.937778907508516,0.0,11.094205146935796,0.0,13.867756433669745
2024-07-24 03:00:00,1.7190028594087745,0.0,21.515751413102496,0.0,11.094205146935796,0.0,13.867756433669745
2024-07-24 04:00:00,0.0,1.547102573467897,18.947353582503588,0.0,12.641307720403693,0.0,15.801634650504617
2024-07-24 05:00:00,0.0,0.0,9.895954298580083,0.0,11.248915404282586,0.0,14.061144255353234
2024-07-24 06:00:00,0.0,1.547102573467897,17.8152763634247,0.0,11.248915404282586,0.0,14.061144255353234
2024-07-24 07:00:00,0.0,1.547102573467897,0.0,12.784418164053818,9.85652308816148,0.0,12.32065386020185
2024-07-24 08:00:00,0.0,1.547102573467897,0.0,47.074561316835094,8.464130772040372,0.0,10.580163465050466
2024-07-24 09:00:00,0.0,0.0,0.0,49.49068021062229,8.0,0.0,10.0
2024-07-24 10:00:00,1.7190028594087745,0.0,0.0,56.23987457389271,8.0,0.0,10.0
2024-07-24 11:00:00,0.0,0.0,0.0,68.96181018063143,9.547102573467898,0.0,11.933878216834874
2024-07-24 12:00:00,60.0,52.452897426532104,0.0,70.0,9.547102573467898,4.13088732410904,11.933878216834874
2024-07-24 13:00:00,1.7535114498868052,0.03105773143022761,0.0,70.0,16.339494889589005,0.0,20.424368611986257
2024-07-24 14:00:00,0.0,1.547102573467897,0.0,62.04600608191219,17.889703236199924,0.0,22.362129045249908
2024-07-24 15:00:00,0.0,0.0,0.0,42.92445425723763,16.497310920078817,0.0,20.62163865009852
2024-07-24 16:00:00,0.0,1.547102573467897,0.0,20.537224670267364,16.497310920078817,0.0,20.62163865009852
2024-07-24 17:00:00,0.0,1.547102573467897,7.387115726181135,0.0,15.10491860395771,0.0,18.88114825494714
2024-07-24 18:00:00,0.0,1.547102573467897,33.660369578794274,0.0,13.712526287836603,0.0,17.140657859795756
2024-07-24 19:00:00,0.0,1.547102573467897,45.85742659778239,0.0,12.320133971715496,0.0,15.40016746464437
2024-07-24 20:00:00,0.0,1.547102573467897,36.82485401105686,0.0,10.927741655594389,0.0,13.659677069492988
2024-07-24 21:00:00,0.0,1.547102573467897,43.03187400965714,0.0,9.535349339473282,0.0,11.919186674341601
2024-07-24 22:00:00,0.0,0.5424837615729006,21.47898277001285,0.0,8.142957023352174,0.0,10.178696279190218
2024-07-24 23:00:00,1.7190028594087745,0.0,21.112149685098494,0.0,8.0,0.0,10.0
2024-07-25 00:00:00,0.0,0.0,28.4034377693618,0.0,9.547102573467898,0.0,11.933878216834874
2024-07-25 01:00:00,0.0,0.0,14.43586277882548,0.0,9.547102573467898,0.0,11.933878216834874
2024-07-25 02:00:00,0.3528542295463747,0.0,16.74504049928218,0.0,9.547102573467898,0.0,11.933878216834874
2024-07-25 03:00:00,1.7190028594087745,0.0,21.147148396038606,0.0,9.864671380059635,0.0,12.330839225074545
2024-07-25 04:00:00,0.0,0.5699512779981849,23.458826152603645,0.0,11.411773953527533,0.0,14.264717441909417
2024-07-25 05:00:00,0.0,0.0,15.000420189366704,0.0,10.898817803329166,0.0,13.623522254161458
2024-07-25 06:00:00,0.0,1.547102573467897,7.702215659216818,0.0,10.898817803329166,0.0,13.623522254161458
2024-07-25 07:00:00,0.5243638844266822,0.0,0.0,14.644629375347117,9.506425487208059,0.0,11.883031859010075
2024-07-25 08:00:00,0.0,1.3189114373393254,0.0,25.796230115198448,9.978352983192073,0.0,12.472941228990091
2024-07-25 09:00:00,1.7190028594087745,0.0,0.0,41.75789989758617,8.79133268958668,0.0,10.989165861983349
2024-07-25 10:00:00,1.7190028594087745,0.0,0.0,48.169377137163245,10.338435263054578,0.0,12.923044078818222
2024-07-25 11:00:00,1.7190028594087745,0.0,0.0,45.741722393776264,11.885537836522476,0.0,14.856922295653094
2024-07-25 12:00:00,1.7190028594087745,0.0,0.0,33.04709982071406,13.432640409990373,0.0,16.790800512487966
