,production_dc_kw,production_ac_kw,consumption_kw,grid_power_kw,battery_power_ac_kw,battery_soc_kwh,curtailment_kw,spot_price
2020-01-01 00:00:00,0.0,0.0,80.0,80.0,0.0,0.0,0.0,0.8
2020-01-01 01:00:00,0.0,0.0,78.97777478867205,78.97777478867205,0.0,0.0,0.0,0.7829629131445341
2020-01-01 02:00:00,0.0,0.0,75.98076211353316,75.98076211353316,0.0,0.0,0.0,0.7330127018922193
2020-01-01 03:00:00,0.0,0.0,71.21320343559643,71.21320343559643,0.0,0.0,0.0,0.6535533905932738
2020-01-01 04:00:00,0.0,0.0,65.0,65.0,0.0,0.0,0.0,0.5499999999999999
2020-01-01 05:00:00,0.0,0.0,57.76457135307563,57.76457135307563,0.0,0.0,0.0,0.4294095225512605
2020-01-01 06:00:00,0.0,0.0,50.00000000000001,50.00000000000001,0.0,0.0,0.0,0.30000000000000004
2020-01-01 07:00:00,0.0,0.0,57.764571353075624,57.764571353075624,0.0,0.0,0.0,0.4294095225512604
2020-01-01 08:00:00,0.0,0.0,64.99999999999999,64.99999999999999,0.0,0.0,0.0,0.5499999999999998
2020-01-01 09:00:00,0.0,0.0,71.21320343559641,71.21320343559641,0.0,0.0,0.0,0.6535533905932736
2020-01-01 10:00:00,0.020421052631578843,0.0193999999999999,75.98076211353316,75.96136211353316,0.0,0.0,0.0,0.7330127018922192
2020-01-01 11:00:00,0.23334736842105264,0.22168,78.97777478867205,78.75609478867204,0.0,0.0,0.0,0.7829629131445341
2020-01-01 12:00:00,0.23334736842105264,0.22168,80.0,79.77832,0.0,0.0,0.0,0.8
2020-01-01 13:00:00,0.020421052631578843,0.0193999999999999,78.97777478867205,78.95837478867205,0.0,0.0,0.0,0.7829629131445341
2020-01-01 14:00:00,0.0,0.0,75.98076211353316,75.98076211353316,0.0,0.0,0.0,0.7330127018922192
2020-01-01 15:00:00,0.0,0.0,71.21320343559643,71.21320343559643,0.0,0.0,0.0,0.6535533905932738
2020-01-01 16:00:00,0.0,0.0,65.00000000000001,65.00000000000001,0.0,0.0,0.0,0.5500000000000003
2020-01-01 17:00:00,0.0,0.0,57.764571353075645,57.764571353075645,0.0,0.0,0.0,0.42940952255126075
2020-01-01 18:00:00,0.0,0.0,50.00000000000001,50.00000000000001,0.0,0.0,0.0,0.3000000000000001
2020-01-01 19:00:00,0.0,0.0,57.76457135307563,57.76457135307563,0.0,0.0,0.0,0.4294095225512605
2020-01-01 20:00:00,0.0,0.0,65.0,65.0,0.0,0.0,0.0,0.55
2020-01-01 21:00:00,0.0,0.0,71.21320343559643,71.21320343559643,0.0,0.0,0.0,0.6535533905932737
