timestamp,P_charge_kw,P_discharge_kw,P_grid_import_kw,P_grid_export_kw,E_battery_kwh,P_curtail_kw,pv_production_kw,consumption_kw,spot_price_nok_per_kwh,energy_cost_nok,total_cost_nok
2024-08-01 12:00:00+02:00,2.4818833327673424,0.0,0.0,0.0,26.979180467968654,0.0,14.74726,12.2147259869721,0.408191779353001,0.0,0.0
2024-08-01 13:00:00+02:00,0.021945713679296864,0.0,0.0,0.0,27.0,0.0,13.1096,13.087206414612963,0.4686930871178381,0.0,0.0
2024-08-01 14:00:00+02:00,0.0,1.391070700872734,4.503958838321139,0.0,25.533682732971794,0.0,10.70992,16.57712812517642,0.5043454833215998,2.2715512971736658,2.2715512971736658
2024-08-01 15:00:00+02:00,0.0,10.185478115119679,0.0,0.0,14.79724609911283,0.0,7.46784,17.449608552817285,0.5146422067964734,0.0,0.0
2024-08-01 16:00:00+02:00,12.52055043732711,0.0,0.0,0.0,26.675283181404115,0.0,29.3532,16.57712812517642,0.5327188363473431,0.0,0.0
2024-08-01 17:00:00+02:00,0.0,7.745455961483499,0.0,0.0,18.51085572979836,0.0,6.369140000000001,13.959686842253829,0.7861256124535831,0.0,0.0
2024-08-01 18:00:00+02:00,0.0,2.3280154405003795,0.0,0.0,16.056911989791228,0.0,8.18831,10.469765131690371,0.6297616818009397,0.0,0.0
2024-08-01 19:00:00+02:00,0.0,6.1548712742528355,0.0,0.0,9.569108012530618,0.0,1.82055,7.852323848767779,0.5551662975568422,0.0,0.0
2024-08-01 20:00:00+02:00,0.0,6.232003054577603,0.0,0.0,3.0,0.0,0.0,6.10736299348605,0.6658664448281933,0.0,0.0
2024-08-01 21:00:00+02:00,0.0,-0.0,5.234882565845186,0.0,3.0,0.0,0.0,5.234882565845186,0.4195898615859049,2.196503651221448,2.196503651221448
2024-08-01 22:00:00+02:00,0.0,0.0,5.234882565845186,0.0,3.0,0.0,0.0,5.234882565845186,0.3690351920967937,1.9318558932908343,1.9318558932908343
2024-08-01 23:00:00+02:00,3.6246464714907285,0.0,8.933501414305113,0.0,6.438641568840982,0.0,0.0,5.234882565845186,0.2327447456766029,2.0792255146740155,2.0792255146740155
2024-08-02 00:00:00+02:00,3.6246464714907285,0.0,8.933501414305113,0.0,9.877283137681964,0.0,0.0,5.234882565845186,0.2772113607608821,2.476468083418785,2.476468083418785
2024-08-02 01:00:00+02:00,3.6246464714907285,0.0,8.933501414305113,0.0,13.315924706522946,0.0,0.0,5.234882565845186,0.2472433989530751,2.2087492542248994,2.2087492542248994
2024-08-02 02:00:00+02:00,3.6246464714907285,0.0,8.933501414305113,0.0,16.754566275363928,0.0,0.0,5.234882565845186,0.2889769944362108,2.58157638849753,2.58157638849753
2024-08-02 03:00:00+02:00,3.6246464714907285,0.0,8.933501414305113,0.0,20.19320784420491,0.0,0.0,5.234882565845186,0.2969873670016931,2.6531370631403766,2.6531370631403766
2024-08-02 04:00:00+02:00,0.0,0.0,4.373102565845185,0.0,20.19320784420491,0.0,0.86178,5.234882565845186,0.3547037407878311,1.5511558389541498,1.5511558389541498
2024-08-02 05:00:00+02:00,3.543560852402681,0.0,8.933501414305113,0.0,23.554924840504974,0.0,0.78974,6.10736299348605,0.2847546453006375,2.5438560265231955,2.5438560265231955
2024-08-02 06:00:00+02:00,0.0,3.766616608580247,0.0,0.0,19.584562321927475,0.0,5.03352,8.724804276408642,0.4961782773365141,0.0,0.0
2024-08-02 07:00:00+02:00,0.0,13.031696029502411,0.0,10.034546121940263,5.847948579193993,0.0,9.47821,12.2147259869721,0.7423739559850936,0.0,0.0
2024-08-02 08:00:00+02:00,1.4256768564151505,0.0,0.0,0.0,7.200464401292207,0.0,17.159419999999997,15.704647697535558,0.6036491200298282,0.0,0.0
2024-08-02 09:00:00+02:00,0.8982498182390604,0.0,0.0,0.0,8.052619001332513,0.0,18.36619,17.449608552817285,0.6027462788381899,0.0,0.0
2024-08-02 10:00:00+02:00,0.0,4.79333525797682,0.0,0.0,3.0,0.0,12.75214,17.449608552817285,0.449813113456622,0.0,0.0
2024-08-02 11:00:00+02:00,12.441797637327108,0.0,0.0,0.0,14.803325616256572,0.0,29.27284,16.57712812517642,0.4102088214162108,0.0,0.0
2024-08-02 12:00:00+02:00,12.856423644019927,0.0,0.0,17.629444376272872,27.0,0.0,42.96297,12.2147259869721,0.4409028021522397,0.0,0.0
2024-08-02 13:00:00+02:00,0.0,-0.0,0.0,46.28424358538704,27.0,0.0,59.37145,13.087206414612963,0.5178909158481443,0.0,0.0
2024-08-02 14:00:00+02:00,-0.0,0.0,0.0,5.200161874823582,27.0,0.0,21.77729,16.57712812517642,0.6776000000000001,0.0,0.0
2024-08-02 15:00:00+02:00,0.0,-0.0,5.215648552817285,0.0,27.0,0.0,12.23396,17.449608552817285,0.4180490850275796,2.1803971053306856,2.1803971053306856
2024-08-02 16:00:00+02:00,0.0,3.016812970276844,8.933501414305113,0.0,23.81999991306244,0.0,4.68715,16.57712812517642,0.4989434550156487,4.457312061040577,4.457312061040577
2024-08-02 17:00:00+02:00,0.0,5.72799677781003,0.0,0.0,17.782161163734067,0.0,8.34625,13.959686842253829,0.6841220316241682,0.0,0.0
2024-08-02 18:00:00+02:00,0.0,2.366188909888134,0.0,0.0,15.287979053908261,0.0,8.1509,10.469765131690371,0.7375185609967495,0.0,0.0
2024-08-02 19:00:00+02:00,0.0,7.570065151803856,0.0,0.0,7.3084297487187655,0.0,0.43366,7.852323848767779,0.7869293361165044,0.0,0.0
2024-08-02 20:00:00+02:00,0.0,4.087335343433464,2.101774356921255,0.0,3.0,0.0,0.0,6.10736299348605,0.5153996538575075,1.0832537760438004,1.0832537760438004
2024-08-02 21:00:00+02:00,0.0,-0.0,5.234882565845186,0.0,3.0,0.0,0.0,5.234882565845186,0.488799093919105,2.558805854958046,2.558805854958046
2024-08-02 22:00:00+02:00,0.0,-0.0,5.234882565845186,0.0,3.0,0.0,0.0,5.234882565845186,0.5125242553809365,2.68300428906645,2.68300428906645
