timestamp,P_charge_kw,P_discharge_kw,P_grid_import_kw,P_grid_export_kw,E_battery_kwh,P_curtail_kw
2024-01-03 14:00:00,7.483134195628668,0.0,56.940449842446455,0.0,24.329373899221288,0.0
2024-01-03 15:00:00,0.0,0.0,43.13721934695207,0.0,24.329373899221288,0.0
2024-01-03 16:00:00,2.8150870857183676,0.0,59.37010334656707,0.0,27.0,0.0
2024-01-03 17:00:00,0.0,15.0,29.748215582662173,0.0,11.188611699158102,0.0
2024-01-03 18:00:00,0.0,0.0,46.9596523534708,0.0,11.188611699158102,0.0
2024-01-03 19:00:00,0.0,0.0,42.977723498551136,0.0,11.188611699158102,0.0
2024-01-03 20:00:00,0.0,7.7683991532123295,32.10460462406069,0.0,3.0,0.0
2024-01-03 21:00:00,-0.0,0.0,44.17724719153648,0.0,3.0,0.0
2024-01-03 22:00:00,0.0,0.0,13.90831416595404,0.0,3.0,0.0
2024-01-03 23:00:00,15.0,0.0,40.4558562714988,0.0,17.230249470757705,0.0
2024-01-04 00:00:00,0.0,13.499999999999998,9.691929130564427,0.0,3.0,0.0
2024-01-04 01:00:00,-0.0,0.0,26.527826796508624,0.0,3.0,0.0
2024-01-04 02:00:00,0.0,0.0,22.883621483327115,0.0,3.0,0.0
2024-01-04 03:00:00,15.0,0.0,32.222141098343556,0.0,17.230249470757705,0.0
2024-01-04 04:00:00,10.298221281347036,0.0,32.69871890091318,0.0,27.0,0.0
2024-01-04 05:00:00,0.0,0.0,18.99877061716021,0.0,27.0,0.0
2024-01-04 06:00:00,0.0,0.0,49.429886715698586,0.0,27.0,0.0
2024-01-04 07:00:00,0.0,6.814614645053429,34.695825622942635,0.0,19.816765448430424,0.0
2024-01-04 08:00:00,0.0,15.0,32.39319339078385,0.0,4.005377147588524,0.0
2024-01-04 09:00:00,0.0,0.0,42.302629827078476,0.0,4.005377147588524,0.0
2024-01-04 10:00:00,15.0,0.0,31.70946662513503,0.0,18.23562661834623,0.0
2024-01-04 11:00:00,9.238460716726035,0.0,59.37010334656707,0.0,27.0,0.0
2024-01-04 12:00:00,0.0,-0.0,33.69284710411799,0.0,27.0,0.0
2024-01-04 13:00:00,0.0,0.0,45.62574232824745,0.0,27.0,0.0
2024-01-04 14:00:00,0.0,0.0,38.7106296120601,0.0,27.0,0.0
2024-01-04 15:00:00,-0.0,0.0,45.46681563991908,0.0,27.0,0.0
2024-01-04 16:00:00,0.0,0.0,47.77542209059059,0.0,27.0,0.0
2024-01-04 17:00:00,0.0,15.0,36.111942799212514,0.0,11.188611699158102,0.0
2024-01-04 18:00:00,15.0,0.0,57.60609185094723,0.0,25.418861169915807,0.0
2024-01-04 19:00:00,0.0,15.0,25.36597133771914,0.0,9.60747286907391,0.0
2024-01-04 20:00:00,0.0,6.268399153212327,28.21190642010846,0.0,3.0,0.0
2024-01-04 21:00:00,0.0,0.0,45.90765377544823,0.0,3.0,0.0
2024-01-04 22:00:00,-0.0,0.0,21.68529646063377,0.0,3.0,0.0
2024-01-04 23:00:00,15.0,0.0,37.70941307577105,0.0,17.230249470757705,0.0
2024-01-05 00:00:00,0.0,13.499999999999998,3.8328200599406888,0.0,3.0,0.0
2024-01-05 01:00:00,0.0,0.0,18.85476637990166,0.0,3.0,0.0
2024-01-05 02:00:00,0.0,0.0,19.02231080841377,0.0,3.0,0.0
2024-01-05 03:00:00,0.0,0.0,18.780196236431767,0.0,3.0,0.0
2024-01-05 04:00:00,10.298221281347034,0.0,31.99006458089315,0.0,12.769750529242293,0.0
2024-01-05 05:00:00,15.0,0.0,41.20065487470793,0.0,27.0,0.0
2024-01-05 06:00:00,0.0,-0.0,48.33765712162201,0.0,27.0,0.0
2024-01-05 07:00:00,0.0,0.0,41.5333980408068,0.0,27.0,0.0
2024-01-05 08:00:00,0.0,15.0,27.898156069225617,0.0,11.188611699158102,0.0
2024-01-05 09:00:00,0.0,7.7683991532123295,43.39362737629624,0.0,3.0,0.0
2024-01-05 10:00:00,0.0,0.0,47.51893001993303,0.0,3.0,0.0
2024-01-05 11:00:00,11.68604148151969,0.0,59.37010334656707,0.0,14.08635237384321,0.0
2024-01-05 12:00:00,6.4916369011525825,0.0,59.37010334656707,0.0,20.24485987897506,0.0
2024-01-05 13:00:00,0.0,0.0,47.10826357341361,0.0,20.24485987897506,0.0
2024-01-05 14:00:00,0.0,15.0,26.096628339810035,0.0,4.433471578133162,0.0
2024-01-05 15:00:00,15.0,0.0,54.57081137488152,0.0,18.66372104889087,0.0
2024-01-05 16:00:00,0.0,0.0,51.43648516268198,0.0,18.66372104889087,0.0
2024-01-05 17:00:00,0.15565495066106314,0.0,40.656866002602435,0.0,18.811388300841898,0.0
2024-01-05 18:00:00,0.0,0.0,39.6103725889926,0.0,18.811388300841898,0.0
2024-01-05 19:00:00,0.0,15.0,40.884844283450946,0.0,3.0,0.0
2024-01-05 20:00:00,0.0,0.0,40.93211263818475,0.0,3.0,0.0
2024-01-05 21:00:00,-0.0,0.0,45.94300631908852,0.0,3.0,0.0
2024-01-05 22:00:00,0.0,-0.0,20.42382606149657,0.0,3.0,0.0
2024-01-05 23:00:00,-0.0,0.0,21.06799308493224,0.0,3.0,0.0
2024-01-06 00:00:00,10.298221281347034,0.0,24.547996942684243,0.0,12.769750529242293,0.0
2024-01-06 01:00:00,0.0,0.0,13.209698937078674,0.0,12.769750529242293,0.0
2024-01-06 02:00:00,15.0,0.0,31.176181167473498,0.0,27.0,0.0
2024-01-06 03:00:00,0.0,0.0,17.2893267940299,0.0,27.0,0.0
2024-01-06 04:00:00,0.0,-0.0,12.72268258279524,0.0,27.0,0.0
2024-01-06 05:00:00,0.0,0.0,12.467836408980952,0.0,27.0,0.0
2024-01-06 06:00:00,0.0,-0.0,12.031269390185663,0.0,27.0,0.0
2024-01-06 07:00:00,0.0,15.0,0.8554689864431335,0.0,11.188611699158102,0.0
2024-01-06 08:00:00,15.0,0.0,27.795208323741797,0.0,25.418861169915807,0.0
2024-01-06 09:00:00,0.0,15.0,0.0,0.39876342672262943,9.60747286907391,0.0
2024-01-06 10:00:00,9.701778718652971,0.0,22.51119908323457,0.0,18.811388300841898,0.0
2024-01-06 11:00:00,0.0,15.0,1.529644079161823,0.0,3.0,0.0
2024-01-06 12:00:00,10.298221281347034,0.0,23.03572756345079,0.0,12.769750529242293,0.0
2024-01-06 13:00:00,15.0,0.0,28.073414493990533,0.0,27.0,0.0
2024-01-06 14:00:00,0.0,15.0,2.6413127823322995,0.0,11.188611699158102,0.0
2024-01-06 15:00:00,0.0,0.0,12.864227017690023,0.0,11.188611699158102,0.0
2024-01-06 16:00:00,15.0,0.0,29.378779189012633,0.0,25.418861169915807,0.0
2024-01-06 17:00:00,0.0,0.0,11.163173786281842,0.0,25.418861169915807,0.0
2024-01-06 18:00:00,0.0,6.268399153212327,10.354967412508312,0.0,18.811388300841898,0.0
2024-01-06 19:00:00,0.0,15.0,0.0,2.824285536818607,3.0,0.0
2024-01-06 20:00:00,0.0,-0.0,13.721366843091992,0.0,3.0,0.0
